loc,longitude,latitude,year,date,gens,DD_vince,jd_vince,obsp,predict,moths,cumoths,dataset
3490,-119.8180542,35.7495079,2013,3/13/2013,0,109,72,0.079861112,0.040410742,23,23,1
3490,-119.8180542,35.7495079,2013,3/20/2013,0,145,79,0.274305552,0.095981665,56,79,1
3490,-119.8180542,35.7495079,2013,3/27/2013,0,171,86,0.402777791,0.157127947,37,116,1
3490,-119.8180542,35.7495079,2013,4/3/2013,0,207,93,0.611111104,0.267015249,60,176,1
3490,-119.8180542,35.7495079,2013,4/10/2013,0,241,100,0.756944418,0.394145459,42,218,1
3490,-119.8180542,35.7495079,2013,4/17/2013,0,274,107,0.831597209,0.526925445,21.5,239.5,1
3490,-119.8180542,35.7495079,2013,9/11/2013,3,1570,254,0.13192904,0.104548097,59.5,59.5,1
3490,-119.8180542,35.7495079,2013,9/18/2013,3,1635,261,0.177383587,0.20771569,20.5,80,1
3490,-119.8180542,35.7495079,2013,9/26/2013,3,1696,269,0.314855874,0.36303708,62,142,1
3490,-119.8180542,35.7495079,2013,10/2/2013,3,1741,275,0.437915742,0.515114307,55.5,197.5,1
3490,-119.8180542,35.7495079,2013,10/9/2013,3,1786,282,0.565410197,0.682101548,57.5,255,1
3490,-119.8180542,35.7495079,2013,10/16/2013,3,1826,289,0.735033274,0.819586515,76.5,331.5,1
3490,-119.8180542,35.7495079,2013,10/23/2013,3,1873,296,0.869179606,0.935160935,60.5,392,1
3490,-119.8180542,35.7495079,2013,3/20/2013,0,145,79,0.246943772,0.095981665,43.5,50.5,1
3490,-119.8180542,35.7495079,2013,3/27/2013,0,171,86,0.435207814,0.157127947,38.5,89,1
3490,-119.8180542,35.7495079,2013,4/3/2013,0,207,93,0.647921741,0.267015249,43.5,132.5,1
3490,-119.8180542,35.7495079,2013,4/10/2013,0,241,100,0.85330075,0.394145459,42,174.5,1
3490,-119.8180542,35.7495079,2013,4/17/2013,0,274,107,0.904645503,0.526925445,10.5,185,1
3530,-119.1915512,35.55502701,2013,4/3/2013,0,217,93,0.09762533,0.301047593,20,37,1
3530,-119.1915512,35.55502701,2013,4/10/2013,0,248,100,0.218997359,0.422734559,46,83,1
3530,-119.1915512,35.55502701,2013,4/17/2013,0,283,107,0.372031659,0.563811541,58,141,1
3530,-119.1915512,35.55502701,2013,4/24/2013,0,340,114,0.569920838,0.769342542,75,216,1
3530,-119.1915512,35.55502701,2013,5/1/2013,0,403,121,0.732189953,0.918841481,61.5,277.5,1
3530,-119.1915512,35.55502701,2013,5/8/2013,0,452,128,0.914248049,0.972356677,69,346.5,1
3530,-119.1915512,35.55502701,2013,7/31/2013,2,1167,212,0.083333336,0.11914584,34,34,1
3530,-119.1915512,35.55502701,2013,8/7/2013,2,1234,219,0.22303921,0.228311464,57,91,1
3530,-119.1915512,35.55502701,2013,8/14/2013,2,1303,226,0.370098025,0.406555027,60,151,1
3530,-119.1915512,35.55502701,2013,8/21/2013,2,1362,233,0.528186262,0.599838793,64.5,215.5,1
3530,-119.1915512,35.55502701,2013,8/28/2013,2,1425,240,0.674019635,0.803710759,59.5,275,1
3530,-119.1915512,35.55502701,2013,9/4/2013,2,1487,247,0.861519635,0.939511716,76.5,351.5,1
